time,symbol,market_type,open,high,low,close,volume,ret_1,ret_5,rsi_14,atr_14,atr_pct,adx_14,ema_20,ema_50,ema_200,ema_spread_20_50,ema_spread_50_200,macd_hist,bb_pct,target_ret_1,target_ret_5,target_class
2022-06-13,NVDA,stock,16,16.312,15.606,15.647,604153000,-0.078178,-0.167093,35.76,1.14247,0.07302,18.92,18.00466,19.47897,,-0.075687,,-0.035244,,0.012079,0.058733,1
2022-06-14,NVDA,stock,15.731,16.066,15.412,15.836,469680000,0.012079,-0.163267,37.04,1.10758,0.06994,20.16,17.79812,19.33611,,-0.079539,,-0.122657,,0.043635,0.033089,1
2022-06-15,NVDA,stock,16.095,16.868,15.926,16.527,563936000,0.043635,-0.113739,41.61,1.10218,0.06669,20.27,17.67706,19.22595,,-0.080562,,-0.122536,,-0.05603,-0.018273,-1
2022-06-16,NVDA,stock,15.86,15.942,15.401,15.601,545749000,-0.05603,-0.135583,37.67,1.10388,0.07076,20.76,17.47934,19.08379,,-0.084074,,-0.17047,,0.017883,0.09775,1
2022-06-17,NVDA,stock,15.648,15.995,15.328,15.88,630334000,0.017883,-0.064452,39.53,1.07267,0.06755,21.27,17.32703,18.95815,,-0.086038,,-0.168722,,0.043199,0.06228,1
2022-06-21,NVDA,stock,16.475,17.008,16.407,16.566,483089000,0.043199,0.058733,43.96,1.07663,0.06499,20.51,17.25455,18.86434,,-0.085335,,-0.109568,,-0.012435,-0.035253,-1
2022-06-22,NVDA,stock,16.226,16.662,16.18,16.36,437135000,-0.012435,0.033089,42.94,1.03415,0.06321,20.01,17.16935,18.76613,23.91066,-0.085088,-0.215156,-0.074209,,-0.008252,-0.05,-1
2022-06-23,NVDA,stock,16.519,16.585,15.853,16.225,463680000,-0.008252,-0.018273,42.25,1.01257,0.06241,19.84,17.07941,18.66648,23.83419,-0.085022,-0.216819,-0.050918,,0.055532,-0.065701,-1
2022-06-24,NVDA,stock,16.5,17.14,16.31,17.126,472153000,0.055532,0.09775,48.23,1.0056,0.05872,19.01,17.08385,18.60607,23.76744,-0.081813,-0.217161,0.029819,,-0.015006,-0.151991,-1
2022-06-27,NVDA,stock,17.312,17.33,16.626,16.869,427968000,-0.015006,0.06228,46.74,0.98406,0.05834,18.03,17.06339,18.53795,23.6988,-0.079543,-0.217768,0.068361,,-0.052582,-0.112929,-1
2022-06-28,NVDA,stock,16.9,17.202,15.945,15.982,461149000,-0.052582,-0.035253,41.94,1.00355,0.06279,17.79,16.9604,18.43772,23.62201,-0.080125,-0.219469,0.038075,,-0.027531,-0.05331,-1
2022-06-29,NVDA,stock,15.814,15.82,15.17,15.542,482352000,-0.027531,-0.05,39.75,0.98987,0.06369,18.21,16.82531,18.32416,23.54161,-0.081796,-0.221627,-0.005324,,-0.024643,0.020332,1
2022-06-30,NVDA,stock,15.361,15.567,14.862,15.159,686070000,-0.024643,-0.065701,37.9,0.96952,0.06396,18.84,16.66662,18.20004,23.45821,-0.084254,-0.224151,-0.051018,,-0.041955,0.044792,1
2022-07-01,NVDA,stock,14.899,15.063,14.392,14.523,577610000,-0.041955,-0.151991,34.99,0.95506,0.06576,19.77,16.46246,18.05584,23.3693,-0.088247,-0.227369,-0.111783,,0.030366,0.043311,1
2022-07-05,NVDA,stock,14.175,14.971,14.055,14.964,651397000,0.030366,-0.112929,38.52,0.95227,0.06364,20.88,16.31975,17.93459,23.28566,-0.09004,-0.229801,-0.109824,,0.011093,0.007886,0
2022-07-06,NVDA,stock,15.01,15.319,14.789,15.13,529066000,0.011093,-0.05331,39.84,0.92211,0.06095,21.41,16.20644,17.82461,23.20451,-0.090783,-0.231847,-0.085952,,0.048116,0.002247,0
2022-07-07,NVDA,stock,15.456,15.945,15.389,15.858,492903000,0.048116,0.020332,45.39,0.91446,0.05767,21.06,16.17326,17.74748,23.13141,-0.088701,-0.232754,-0.013536,,-0.001261,-0.030647,-1
2022-07-08,NVDA,stock,15.43,16.037,15.389,15.838,467972000,-0.001261,0.044792,45.27,0.89542,0.05654,20.61,16.14133,17.6726,23.05884,-0.086647,-0.233587,0.037806,,-0.043314,-0.004799,0
2022-07-11,NVDA,stock,15.526,15.527,15.038,15.152,437321000,-0.043314,0.043311,41.13,0.88861,0.05865,20.54,16.04711,17.57375,22.98017,-0.086871,-0.235264,0.030659,,-0.00462,0.062632,1
2022-07-12,NVDA,stock,15.268,15.431,14.877,15.082,458483000,-0.00462,0.007886,40.72,0.86471,0.05733,20.62,15.95519,17.47604,22.90158,-0.087025,-0.236907,0.026468,,0.005437,0.126641,1
