lookback_hours,lookback_bars,tp_atr_mult,tp_swing_fraction,sl_atr_mult,sl_swing_fraction,min_tp_major,min_sl_major,min_tp_jpy,min_sl_jpy,val_trades,val_wins,val_losses,val_win_rate,val_net_pips,val_expectancy_pips,val_profit_factor,val_max_drawdown_pips,val_score,val_avg_tp_pips,val_avg_sl_pips,val_tp_hits,val_sl_hits,val_timeouts,test_trades,test_wins,test_losses,test_win_rate,test_net_pips,test_expectancy_pips,test_profit_factor,test_max_drawdown_pips,test_score,test_avg_tp_pips,test_avg_sl_pips,test_tp_hits,test_sl_hits,test_timeouts
5,60,1.8,0.55,1.0,0.15,14,12,34,20,41,26,15,63.41463414634146,926.400000000009,22.59512195121973,4.91108859476925,51.999999999998636,900.4000000000096,54.84317073170747,19.376829268292706,17,11,13,58,21,37,36.206896551724135,125.7350000000173,2.167844827586505,1.2081205670824393,182.72499999999354,34.37250000002052,50.28370689655164,19.48991379310344,11,26,21
5,60,1.8,0.55,1.2,0.15,14,12,34,20,41,26,15,63.41463414634146,926.400000000009,22.59512195121973,4.91108859476925,51.999999999998636,900.4000000000096,54.84317073170747,19.376829268292706,17,11,13,58,21,37,36.206896551724135,122.08900000001677,2.1049827586209786,1.2008733265218134,186.37099999999407,28.903500000019733,50.28370689655164,19.598241379310334,11,26,21
5,60,1.5,0.55,0.8,0.15,10,10,38,20,41,25,16,60.97560975609756,923.475000000011,22.523780487805148,4.898739788487293,49.999999999996646,898.4750000000128,54.610487804878176,18.72987804878051,17,12,12,58,20,38,34.48275862068966,82.86500000002559,1.4287068965521654,1.1345331157814882,182.72499999999354,-8.497499999971183,50.41948275862067,18.938189655172405,10,29,19
5,60,1.5,0.55,1.0,0.15,10,10,38,20,41,25,16,60.97560975609756,923.475000000011,22.523780487805148,4.898739788487293,49.999999999996646,898.4750000000128,54.610487804878176,18.72987804878051,17,12,12,58,20,38,34.48275862068966,82.86500000002559,1.4287068965521654,1.1345331157814882,182.72499999999354,-8.497499999971183,50.41948275862067,18.938189655172405,10,29,19
5,60,1.5,0.55,1.2,0.15,10,10,38,20,41,25,16,60.97560975609756,923.475000000011,22.523780487805148,4.898739788487293,49.999999999996646,898.4750000000128,54.610487804878176,18.72987804878051,17,12,12,58,20,38,34.48275862068966,79.21900000002506,1.365844827586639,1.1278569249715185,186.37099999999407,-13.966499999971973,50.41948275862067,19.0465172413793,10,29,19
5,60,1.8,0.55,0.8,0.15,10,10,38,20,41,25,16,60.97560975609756,923.475000000011,22.523780487805148,4.898739788487293,49.999999999996646,898.4750000000128,54.610487804878176,18.72987804878051,17,12,12,58,20,38,34.48275862068966,82.86500000002559,1.4287068965521654,1.1345331157814882,182.72499999999354,-8.497499999971183,50.41948275862067,18.938189655172405,10,29,19
5,60,1.8,0.55,1.0,0.15,10,10,38,20,41,25,16,60.97560975609756,923.475000000011,22.523780487805148,4.898739788487293,49.999999999996646,898.4750000000128,54.610487804878176,18.72987804878051,17,12,12,58,20,38,34.48275862068966,82.86500000002559,1.4287068965521654,1.1345331157814882,182.72499999999354,-8.497499999971183,50.41948275862067,18.938189655172405,10,29,19
5,60,1.8,0.55,1.2,0.15,10,10,38,20,41,25,16,60.97560975609756,923.475000000011,22.523780487805148,4.898739788487293,49.999999999996646,898.4750000000128,54.610487804878176,18.72987804878051,17,12,12,58,20,38,34.48275862068966,79.21900000002506,1.365844827586639,1.1278569249715185,186.37099999999407,-13.966499999971973,50.41948275862067,19.0465172413793,10,29,19
5,60,1.5,0.55,0.8,0.15,10,12,38,24,41,26,15,63.41463414634146,927.0949999999988,22.612073170731676,4.725292829445623,60.00000000000273,897.0949999999974,54.59036585365869,20.88841463414636,18,11,12,57,21,36,36.84210526315789,89.22999999998791,1.565438596491016,1.1395789012639,162.72500000000605,7.8674999999848865,50.18956140350875,21.45736842105262,10,25,22
5,60,1.5,0.55,1.0,0.15,10,12,38,24,41,26,15,63.41463414634146,927.0949999999988,22.612073170731676,4.725292829445623,60.00000000000273,897.0949999999974,54.59036585365869,20.88841463414636,18,11,12,57,21,36,36.84210526315789,89.22999999998791,1.565438596491016,1.1395789012639,162.72500000000605,7.8674999999848865,50.18956140350875,21.45736842105262,10,25,22
5,60,1.5,0.55,1.2,0.15,10,12,38,24,41,26,15,63.41463414634146,927.0949999999988,22.612073170731676,4.725292829445623,60.00000000000273,897.0949999999974,54.59036585365869,20.88841463414636,18,11,12,57,21,36,36.84210526315789,89.22999999998791,1.565438596491016,1.1395789012639,162.72500000000605,7.8674999999848865,50.18956140350875,21.45736842105262,10,25,22
5,60,1.8,0.55,0.8,0.15,10,12,38,24,41,26,15,63.41463414634146,927.0949999999988,22.612073170731676,4.725292829445623,60.00000000000273,897.0949999999974,54.59036585365869,20.88841463414636,18,11,12,57,21,36,36.84210526315789,89.22999999998791,1.565438596491016,1.1395789012639,162.72500000000605,7.8674999999848865,50.18956140350875,21.45736842105262,10,25,22
